qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,source_transcriptome_file
AltLiz_TRINITY_DN26572_c0_g1::TRINITY_DN26572_c0_g1_i1::g.11331::m.11331,XM_004483219.2,33.546,313,200,6,63,372,55,362,1.9499999999999998e-54,176.0,Australia_Alternochelata_lizardensis__AltLiz.fa
AltLiz_TRINITY_DN31157_c0_g1::TRINITY_DN31157_c0_g1_i1::g.7976::m.7976,XM_004483219.2,32.907,313,202,5,65,374,55,362,1.99e-51,168.0,Australia_Alternochelata_lizardensis__AltLiz.fa
AltLiz_TRINITY_DN31157_c0_g1::TRINITY_DN31157_c0_g1_i2::g.7977::m.7977,XM_004483219.2,32.907,313,202,5,65,374,55,362,1.99e-51,168.0,Australia_Alternochelata_lizardensis__AltLiz.fa
AltLiz_TRINITY_DN33813_c0_g1::TRINITY_DN33813_c0_g1_i1::g.3165::m.3165,XM_004477246.3,28.037,107,69,5,1,106,216,315,2.94e-06,35.8,Australia_Alternochelata_lizardensis__AltLiz.fa
Chlorica_TRINITY_DN12553_c0_g1::TRINITY_DN12553_c0_g1_i1::g.13005::m.13005,XM_004452792.2,22.222,207,123,9,19,207,127,313,1.34e-06,37.4,Australia_Chelicopia_lorica__Chlorica.fa
Chlorica_TRINITY_DN12553_c0_g2::TRINITY_DN12553_c0_g2_i1::g.13006::m.13006,XM_004452792.2,22.222,207,123,9,19,207,127,313,1.34e-06,37.4,Australia_Chelicopia_lorica__Chlorica.fa
Chlorica_TRINITY_DN27762_c0_g1::TRINITY_DN27762_c0_g1_i1::g.13053::m.13053,XM_004452792.2,23.415,205,135,7,8,201,120,313,4.49e-07,38.9,Australia_Chelicopia_lorica__Chlorica.fa
Chlorica_TRINITY_DN34710_c0_g1::TRINITY_DN34710_c0_g1_i1::g.1711::m.1711,XM_004483219.2,30.583,206,129,6,1,193,157,361,8.4e-21,79.0,Australia_Chelicopia_lorica__Chlorica.fa
Chlorica_TRINITY_DN34710_c0_g1::TRINITY_DN34710_c0_g1_i2::g.1712::m.1712,XM_004483219.2,32.632,95,58,4,21,112,75,166,2.16e-11,48.5,Australia_Chelicopia_lorica__Chlorica.fa
Chlorica_TRINITY_DN34720_c0_g1::TRINITY_DN34720_c0_g1_i1::g.1689::m.1689,XM_004483219.2,33.333,315,198,6,60,369,55,362,3.9299999999999995e-52,170.0,Australia_Chelicopia_lorica__Chlorica.fa
Chlorica_TRINITY_DN34720_c0_g1::TRINITY_DN34720_c0_g1_i2::g.1690::m.1690,XM_004483219.2,37.363,91,55,2,7,96,134,223,5.75e-18,66.6,Australia_Chelicopia_lorica__Chlorica.fa
